,Quarter,Revenues
0,2021-09-30,110812
1,2021-06-30,113080
2,2021-03-31,108518
3,2020-12-31,125555
4,2020-09-30,96145
5,2020-06-30,88912
6,2020-03-31,75452
7,2019-12-31,87437
8,2019-09-30,69981
9,2019-06-30,63404
10,2019-03-31,59700
11,2018-12-31,72383
12,2018-09-30,56576
13,2018-06-30,52886
14,2018-03-31,51042
15,2017-12-31,60453
16,2017-09-30,43744
17,2017-06-30,37955
18,2017-03-31,35714
19,2016-12-31,43741
20,2016-09-30,32714
21,2016-06-30,30404
22,2016-03-31,29128
23,2015-12-31,35746
24,2015-09-30,25358
25,2015-06-30,23185
26,2015-03-31,22717
27,2014-12-31,29328
28,2014-09-30,20579
29,2014-06-30,19340
30,2014-03-31,19741
31,2013-12-31,25586
32,2013-09-30,17092
33,2013-06-30,15704
34,2013-03-31,16070
35,2012-12-31,21268
36,2012-09-30,13806
37,2012-06-30,12834
38,2012-03-31,13185
39,2011-12-31,17431
40,2011-09-30,10876
41,2011-06-30,9913
42,2011-03-31,9857
43,2010-12-31,12947
44,2010-09-30,7560
45,2010-06-30,6566
46,2010-03-31,7131
47,2009-12-31,9520
48,2009-09-30,5449
49,2009-06-30,4651
50,2009-03-31,4889
51,2008-12-31,6704
52,2008-09-30,4264
53,2008-06-30,4063
54,2008-03-31,4135
55,2007-12-31,5672
56,2007-09-30,3262
57,2007-06-30,2886
58,2007-03-31,3015
59,2006-12-31,3986
60,2006-09-30,2307
61,2006-06-30,2139
62,2006-03-31,2279
63,2005-12-31,2977
64,2005-09-30,1858
65,2005-06-30,1753
66,2005-03-31,1902
